Timestamp,"Air temperature (gund, ℃)","Relative humidity (gund, %)","Wind direction (gund, °)","Wind speed (gund, m/s)","Pressure (gund, mbar)","Solar radiation (gund, W/m^2)"
6/27/22 23:35,18.51,97.3,293,0,1010.9,1
6/27/22 23:40,18.49,97.3,289,0,1011.2,1
6/27/22 23:45,18.34,97.5,288,0,1011.2,1
6/27/22 23:50,18.22,97.7,314,0,1011.3,1
6/27/22 23:55,18.15,97.4,263,0,1011.3,1
7/4/22 0:00,20.51,57.1,350,1.5,1012.9,1
7/4/22 0:05,20.58,57.1,351,1.5,1013,1
7/4/22 0:10,20.48,57,352,1.5,1013.2,1
7/4/22 0:15,20.22,57.6,3,0.5,1013.3,1
7/4/22 0:20,20.15,58.1,355,0.5,1013.3,1
7/4/22 0:25,19.94,58.6,351,0,1013.4,1
7/4/22 0:30,19.7,59.2,351,0,1013.4,1
7/4/22 0:35,19.84,59,1,0,1013.4,1
7/4/22 0:40,20.17,57.6,3,1,1013.6,1
7/4/22 0:45,20.06,57.5,3,1,1013.6,1
7/4/22 0:50,20.1,57.2,352,0.5,1013.6,1
7/4/22 0:55,20.2,56.8,3,1,1013.5,1
7/4/22 1:00,20.13,56.7,355,1,1013.6,1
7/4/22 1:05,20.1,57,355,1,1013.6,1
7/4/22 1:10,20.13,57.5,355,1.5,1013.8,1
7/4/22 1:15,19.82,58.2,350,1,1013.7,1
7/4/22 1:20,19.72,58.8,352,0.5,1013.8,1
7/4/22 1:25,19.65,59.3,344,0.5,1013.9,1
7/4/22 1:30,19.72,59.2,352,1.5,1014,1
7/4/22 1:35,19.72,59.5,350,1.5,1014,1
7/4/22 1:40,19.48,60,350,0.5,1014.1,1
7/4/22 1:45,19.44,60.3,351,0.5,1014,1
7/4/22 1:50,19.27,60.9,348,0.5,1014,1
7/4/22 1:55,19.17,61.2,345,0,1014.1,1
7/4/22 2:00,18.87,62,344,0,1014.1,1
7/4/22 2:05,18.82,62.2,7,0,1014.2,1
7/4/22 2:10,18.58,63.1,11,0,1014,1
7/4/22 2:15,18.41,63.6,355,0,1014.1,1
7/4/22 2:20,18.53,63.7,352,0,1014,1
7/4/22 2:25,18.68,63.6,13,0,1014,1
7/4/22 2:30,18.68,63.7,3,0.5,1014.2,1
7/4/22 2:35,18.68,63.7,8,0.5,1014.3,1
7/4/22 2:40,18.53,64.2,1,0,1014.2,1
7/4/22 2:45,18.46,64.8,1,0.5,1014.3,1
7/4/22 2:50,18.25,65.2,13,0,1014.3,1
7/4/22 2:55,18.01,66,1,0,1014.2,1
7/4/22 3:00,17.82,66.6,355,0,1014.2,1
7/4/22 3:05,18.03,66.6,352,0,1014.2,1
7/4/22 3:10,18.13,66.4,345,0.5,1014.1,1
7/4/22 3:15,18.08,66.7,345,0.5,1014.2,1
7/4/22 3:20,17.82,67.4,348,0.5,1014.3,1
7/4/22 3:25,17.75,67.5,350,0,1014.3,1
7/4/22 3:30,17.77,67.6,350,0,1014.3,1
7/4/22 3:35,17.32,68.8,350,0,1014.2,1
7/4/22 3:40,16.96,70.3,350,0,1014.5,1
7/4/22 3:45,17.15,69.3,350,0,1014.3,1
